a,b,首行买入触发价,模型行数,买入金额,策略 XIRR,最大回撤 (相对峰值),最大回撤 (相对初始),年化夏普比,年化波动率
0.1436350297118406,0.14341020461667464,159.49974664849555,17,18366.068783702296,0.19490310358567448,0.11291033193732465,0.08147673224219334,0.3739483975969725,0.08460396627939679
0.28767857660247903,0.13322802405785084,77.67679933980673,15,3727.286431101145,0.06160833378675977,0.02380398552222311,0.02462748809137515,0.3754521106513481,0.07875642586573783
0.2329984854528513,0.09403847812571502,101.99595415548293,10,10550.107921626584,0.12409565350321956,0.06107212241470489,0.051753889376949025,0.26516186419529214,0.043514454020086156
0.19966462104925914,0.20181666752537197,149.49209552867273,5,44994.739856928245,0.4546382259996223,0.21886994441725405,0.17729945858140186,0.5039606894746721,0.10699450265569652
0.08900466011060913,0.16915604012715724,122.313401678672,10,35269.580317237735,0.3687970962768975,0.18562388042610758,0.1476506709406571,0.12415396845627627,0.04811278421533777
0.08899863008405066,0.26642524808100093,160.78565579523408,17,39719.840377889435,0.40733450190753506,0.21200175532791748,0.16337668245985762,0.24881971516857043,0.06262057802377057
0.06452090304204987,0.058027395120514566,194.18118518342897,17,7084.242077966839,0.07912132960922755,0.05067567874082984,0.04772379878593315,0.20192470457335907,0.016306984864212296
0.2665440364437338,0.2109669818887816,67.48200315727962,17,7614.3624466678875,0.08608432073971602,0.04850594502995062,0.042955654232744625,0.10605132869316622,0.029949323192757255
0.20027875293580222,0.2407372196278903,156.43515745970916,8,6500.054369699904,0.0918957138264924,0.03616712147082648,0.025134919496859066,0.20991499041242895,-0.006717610552578426
0.22701814444901136,0.23987164229707675,84.55162334481719,8,43001.28905116672,0.4495871022656783,0.2149328542575808,0.17166931514852185,0.46251138554398996,0.07311077030746138
0.055146123573950614,0.27151849177388127,112.17150911113538,9,11288.412825986617,0.13477522233316247,0.06073882812854561,0.05419136333538933,0.208612339963407,0.05822709970746512
0.2924774630404986,0.23225843570737353,54.92940886927097,17,32514.43552360636,0.3296873003707485,0.1742872264202121,0.13811620604999228,0.4580219279786222,0.08229150578969324
0.2581106602001054,0.28195251541192407,70.38610734390484,13,26292.151942979694,0.2689714367060098,0.1307692495914479,0.11197249446099466,0.20190718671529512,0.08509144766519497
0.10308477766956904,0.13316414995522285,97.96659335733494,5,27675.10568181883,0.2829999417339704,0.13350069650646734,0.10814401621022565,0.11780264112324554,0.053503759378624796
0.09545624180177516,0.17580235418788576,101.29787079319775,7,10576.332561172145,0.1297864585271746,0.05710924469972882,0.04737471616452595,0.24683765706810526,0.013380861883688599
0.09585112746335846,0.05351991582072267,184.93778246931436,19,32127.058579245488,0.3453968486169817,0.16713419392977788,0.14124796490800962,0.06799846412232524,0.05315268429781851
0.12606056073988442,0.051739396825822806,161.27193638997727,15,3111.9261884582274,0.02859020883560319,0.019106827735997554,0.023338277299239787,0.2079268765607749,0.014658488882207308
0.18118910790805948,0.11003165511287998,195.82744522805615,8,49680.14153662381,0.5088922907311422,0.26070284228696555,0.19993242971374056,0.32407317906407496,0.05364974638223779
0.15798625466052896,0.07520179928477132,139.86072655028607,6,2311.1864181437236,0.034218750645813374,0.021391168495087716,0.010229440924913138,0.0484093521192171,0.041461143339481435
0.12280728504951048,0.1150528419839384,86.2570598136977,13,3457.6704950772464,0.050050230593146686,0.02382786605650572,0.021883659245803752,0.19073777368998504,-0.0020146272346541483
0.20296322368059488,0.09426082363209935,99.14825448824644,15,16907.723574692383,0.18940284830404147,0.09953264100259772,0.07349182564030086,0.3107115176508405,0.031736794978979244
0.08487346516301046,0.05713000620966206,97.97538849379507,19,41749.64243270738,0.41041001584239745,0.2306484422683888,0.18954164338666882,0.20661293009024873,0.10123304905843916
0.12303616213380454,0.27732603660151234,98.97414914948774,11,13602.271377060402,0.15004023657751336,0.07613282915458389,0.05492580133610728,0.3125003856487013,0.05600216067877573
0.14159046082342291,0.052055782847222884,150.94462596677235,5,24124.81567577508,0.22930417404663944,0.12187708478113808,0.09995837654275425,0.012177020702779096,0.046787830826456864
0.16401749605425897,0.23402053608427137,129.62118921356245,13,1880.8892276334536,0.04083829599197967,0.019916131711752126,0.01480206230749081,0.47099070058705844,-0.010885604585837712
0.2462939903482534,0.08803697172987913,107.81362671299664,10,4865.0865076985665,0.059220475063054334,0.032509124854730787,0.026105316695006337,0.5278653896312427,0.03353811686725287
0.09991844553958994,0.2780574054999,72.36346530930749,6,30790.33637849465,0.3085871874339024,0.158383284963021,0.11423588440591544,0.42041562907551977,0.03259424145461392
0.17855860960340292,0.27319898489747146,53.320874441321884,5,10523.565003022,0.12518501815688243,0.043567991022570515,0.034482530122042894,0.3095485349863713,0.04147995901231998
0.19810364221551063,0.21347528659231435,82.82520163815389,10,35018.473587956745,0.3617954841580575,0.18916088048385463,0.1412007374995718,0.2897647131807724,0.06369553415326046
0.061612603179999434,0.2180585374501513,66.12071059530219,11,39484.16757584168,0.4159786723486836,0.21702463878599842,0.1677489916743076,0.193406259438815,0.04161538457679853
0.20188621297535958,0.05133478549242214,167.8167546278359,14,42666.37577414188,0.4279722905994973,0.21323483366478782,0.17737039608119892,0.34390051130967325,0.09167076007857886
0.09263103092182289,0.2962178915284005,66.8746936720828,19,7556.167561966809,0.10940931591222061,0.05452087215921399,0.040446241582583295,0.3347271277452092,0.054527560097278674
0.06626289824631988,0.2694581508939536,158.6342355960254,10,23319.91890256432,0.25214163389441135,0.13280836638538562,0.09819321658125034,0.1644173253875416,0.022899846539332306
0.2872213843133333,0.273776556432523,107.84880346641239,11,47406.991045288436,0.5084212204933685,0.24456417098746316,0.18856540173764957,0.4538278542829357,0.12349938976917263
0.29140800826863983,0.21481113426271797,61.00675846156639,10,38832.09357977108,0.39804730822353984,0.2012488603615471,0.15911900218090935,0.5388900121732946,0.05772080226946821
0.2520993370291153,0.13619673216363415,171.90950741473785,12,6731.058710461268,0.10068604969231507,0.03205874872736425,0.03242114048820768,0.26698541300388595,0.07443557256194594
0.1261534422933427,0.2734121622726202,136.944585535492,6,25622.51200590132,0.2580096825877763,0.132810843320752,0.10522006902662145,0.2970668604606057,0.04889059049029764
0.07441802850159597,0.12287923203779809,85.36422692953596,13,46196.6485101031,0.465975646522709,0.2424620731501054,0.1991520044456219,0.3445267451013442,0.05437263943759548
0.22105825662803924,0.19067788583555073,184.2021761499002,13,22561.90147063611,0.2541388303868972,0.12338082208749557,0.09488559650573564,0.4323629774279827,0.08658204689203505
0.16003812343490031,0.0749327430859706,56.788747080582716,15,42033.46283320747,0.4341522075214436,0.21603959051020188,0.17757451916610442,0.32255345862897267,0.06150065618745339
0.08050955871119471,0.28048890753318756,80.27294122966444,13,25296.342338239305,0.2517119493709888,0.12970917744942628,0.10419205748798815,0.14183575080080585,0.07192376273047497
0.17379422752781754,0.08519261444280334,162.80703917087914,11,6233.772185041931,0.08383731227852081,0.03712825679303791,0.025435938164753057,0.08292396056329514,0.004050419396608121
